('Total Revenue', '391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         735760 function calls (715802 primitive calls) in 7.297 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2587    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
      321    0.002    0.000    0.006    0.000 enum.py:89(__setitem__)
     2264    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      188    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     2751    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      184    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    208/4    0.002    0.000    0.680    0.170 <frozen importlib._bootstrap>:1022(_find_and_load)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     2515    0.002    0.000    0.002    0.000 {built-in method builtins.chr}
       10    0.002    0.000    0.008    0.001 enum.py:553(<listcomp>)
       17    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      191    0.002    0.000    0.400    0.002 sre_compile.py:783(compile)
       19    0.002    0.000    0.003    0.000 enum.py:222(<setcomp>)
      881    0.002    0.000    0.002    0.000 sre_parse.py:433(_uniq)
      136    0.001    0.000    0.002    0.000 css_parser.py:359(__init__)
      331    0.001    0.000    0.900    0.003 socket.py:691(readinto)
      816    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    52/14    0.001    0.000    0.041    0.003 css_parser.py:911(parse_selectors)
      331    0.001    0.000    0.898    0.003 ssl.py:1292(recv_into)
    184/4    0.001    0.000    0.678    0.169 <frozen importlib._bootstrap>:664(_load_unlocked)
       43    0.001    0.000    0.008    0.000 response.py:122(decompress)
      248    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       77    0.001    0.000    0.013    0.000 css_parser.py:462(parse_attribute_selector)
      800    0.001    0.000    0.002    0.000 element.py:1543(get)
    207/4    0.001    0.000    0.680    0.170 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      474    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1691    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1670    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
      191    0.001    0.000    0.243    0.001 sre_parse.py:944(parse)
     1392    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      412    0.001    0.000    0.002    0.000 sre_parse.py:259(getwhile)
      147    0.001    0.000    0.003    0.000 typing.py:146(_type_check)
      603    0.001    0.000    0.011    0.000 enum.py:359(__call__)
      269    0.001    0.000    0.002    0.000 sre_compile.py:435(_mk_bitmap)
      737    0.001    0.000    0.002    0.000 sre_parse.py:82(groups)
     1630    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
      331    0.001    0.000    0.896    0.003 ssl.py:1150(read)
      158    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
       17    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
      926    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      881    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      416    0.001    0.000    0.002    0.000 typing.py:986(__setattr__)
       74    0.001    0.000    0.002    0.000 parse.py:444(urlsplit)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      158    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      384    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      581    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      321    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
      167    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      581    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
  551/533    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
  184/180    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      316    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      416    0.001    0.000    0.001    0.000 typing.py:935(_is_dunder)
      409    0.001    0.000    0.001    0.000 socket.py:93(<lambda>)
      408    0.001    0.000    0.001    0.000 socket.py:88(<lambda>)
      191    0.001    0.000    0.002    0.000 enum.py:986(__and__)
